SampleA	SampleB	Spearman
Day28_4	Day07_1	0.835
Day28_5	Day07_1	0.834
Day28_6	Day07_1	0.836
Day0_1	Day07_2	0.7
Day0_2	Day07_2	0.718
Day0_3	Day07_2	0.714
Day0_4	Day07_2	0.709
Day0_5	Day07_2	0.716
Day0_6	Day07_2	0.719
Day03_1	Day07_2	0.849
Day03_2	Day07_2	0.849
Day03_3	Day07_2	0.847
Day03_4	Day07_2	0.854
Day03_5	Day07_2	0.841
Day03_6	Day07_2	0.85
Day07_1	Day07_2	0.962
Day07_2	Day07_2	1
Day07_3	Day07_2	0.97
Day07_4	Day07_2	0.975
Day07_5	Day07_2	0.975
Day07_6	Day07_2	0.972
Day10_1	Day07_2	0.94
Day10_2	Day07_2	0.941
Day10_3	Day07_2	0.93
Day10_4	Day07_2	0.945
Day10_5	Day07_2	0.918
Day10_6	Day07_2	0.936
Day14_1	Day07_2	0.897
Day14_2	Day07_2	0.897
Day14_3	Day07_2	0.904
Day14_4	Day07_2	0.912
Day14_5	Day07_2	0.905
Day14_6	Day07_2	0.909
Day21_1	Day07_2	0.885
Day21_2	Day07_2	0.887
Day21_3	Day07_2	0.879
Day21_4	Day07_2	0.881
Day21_5	Day07_2	0.879
Day21_6	Day07_2	0.884
Day28_1	Day07_2	0.847
Day28_2	Day07_2	0.847
Day28_3	Day07_2	0.839
Day28_4	Day07_2	0.844
Day28_5	Day07_2	0.834
Day28_6	Day07_2	0.845
Day0_1	Day07_3	0.715
Day0_2	Day07_3	0.727
Day0_3	Day07_3	0.729
Day0_4	Day07_3	0.721
Day0_5	Day07_3	0.728
Day0_6	Day07_3	0.725
Day03_1	Day07_3	0.857
Day03_2	Day07_3	0.853
Day03_3	Day07_3	0.868
Day03_4	Day07_3	0.856
Day03_5	Day07_3	0.845
Day03_6	Day07_3	0.875
Day07_1	Day07_3	0.96
Day07_2	Day07_3	0.97
Day07_3	Day07_3	1
Day07_4	Day07_3	0.983
Day07_5	Day07_3	0.979
Day07_6	Day07_3	0.965
Day10_1	Day07_3	0.955
Day10_2	Day07_3	0.954
Day10_3	Day07_3	0.936
Day10_4	Day07_3	0.955
Day10_5	Day07_3	0.924
Day10_6	Day07_3	0.948
Day14_1	Day07_3	0.913
Day14_2	Day07_3	0.912
Day14_3	Day07_3	0.92
Day14_4	Day07_3	0.924
Day14_5	Day07_3	0.919
Day14_6	Day07_3	0.916
Day21_1	Day07_3	0.899
Day21_2	Day07_3	0.89
Day21_3	Day07_3	0.896
Day21_4	Day07_3	0.89
Day21_5	Day07_3	0.89
Day21_6	Day07_3	0.893
Day28_1	Day07_3	0.854
Day28_2	Day07_3	0.85
Day28_3	Day07_3	0.835
Day28_4	Day07_3	0.85
Day28_5	Day07_3	0.838
Day28_6	Day07_3	0.852
Day0_1	Day07_4	0.717
Day0_2	Day07_4	0.735
Day0_3	Day07_4	0.734
Day0_4	Day07_4	0.726
Day0_5	Day07_4	0.735
Day0_6	Day07_4	0.733
Day03_1	Day07_4	0.867
Day03_2	Day07_4	0.865
Day03_3	Day07_4	0.861
Day03_4	Day07_4	0.865
Day03_5	Day07_4	0.853
Day03_6	Day07_4	0.867
Day07_1	Day07_4	0.964
Day07_2	Day07_4	0.975
Day07_3	Day07_4	0.983
Day07_4	Day07_4	1
Day07_5	Day07_4	0.988
Day07_6	Day07_4	0.973
Day10_1	Day07_4	0.951
Day10_2	Day07_4	0.948
Day10_3	Day07_4	0.933
Day10_4	Day07_4	0.953
Day10_5	Day07_4	0.923
Day10_6	Day07_4	0.945
Day14_1	Day07_4	0.904
Day14_2	Day07_4	0.904
Day14_3	Day07_4	0.911
Day14_4	Day07_4	0.919
