Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
P55011	SLC12A2	0.00931877703760497	9472.78922526042	662.029032389323	3.83664533523031	0.0111672952021213
P61513	RPL37A	0.00954017147356105	21240.2360026042	14174.5789388021	0.583392139308324	0.0114276892704807
Q8NC60	NOA1	0.00964574635848743	19951.8870442708	6371.91038004557	1.64650092471917	0.0115491846983609
Q9NZN4	EHD2	0.00998262844020953	4837.19494628906	1800.23366292318	1.42518533644712	0.0119474087692237
P49736	MCM2	0.010192569461745	12745.1060384115	1529.93957519531	3.05745412933267	0.0121934303913058
P05165	PCCA	0.0102534995062802	12190.5022786458	20720.0094401042	-0.765336716985237	0.0122610545835081
Q96S94	CCNL2	0.0103107576506921	2784.34291585287	450.46934000651	2.62463698201611	0.0123242317841964
Q9Y5L4	TIMM13	0.0104622098003334	2373.89752197266	470.965087890625	2.33050560718989	0.0124998945919899
Q9Y237	PIN4	0.0105656258252521	836.735234578451	126.490946451823	2.71437638742603	0.0126180394182364
P48059	LIMS1	0.0106768495299545	2613.1242167155	114.316141764323	4.5021093274989	0.0127454033180125
P11166	SLC2A1	0.0110881068375574	15770.1456705729	6685.59802246094	1.23785169183696	0.0132306673275909
O60220	TIMM8A	0.0112378312488206	1384.29713439941	252.571940104167	2.44868663259093	0.0134035803117625
O15173	PGRMC2	0.0112857476874257	4749.39908854167	1977.77192179362	1.26313965657672	0.0134549688824831
P12277	CKB	0.0114150756351037	2673.63271077474	579.253565470378	2.20404590178462	0.0136033314693042
Q8NAV1	PRPF38A	0.0116150009874792	10676.1459147135	5737.44885253906	0.89565820556387	0.0138356619974891
Q14728	MFSD10	0.011650988350243	4733.87622070313	325.028035481771	3.85995404990079	0.0138725962186519
O14828	SCAMP3	0.0116888378386993	1846.35332234701	437.286356608073	2.07473298168843	0.0139117151199904
P61011	SRP54	0.0117116977534563	2192.35017903646	399.095092773438	2.45406341602201	0.0139329680663715
Q5VT66	MTARC1	0.011847575913268	6490.99157714844	628.04704284668	3.36719906690526	0.0140885990258118
Q9NPL8	TIMMDC1	0.0119605830775369	2088.88108317057	667.76969909668	1.64314897653508	0.0142169115966454
Q86Y91	KIF18B	0.0120006146057674	2774.79685465495	61.7767435709635	5.46600815042887	0.0142584094185419
Q7Z406	MYH14	0.0120258078202924	72388.740234375	56994.892578125	0.344907354703424	0.0142822493729272
P41134	ID1	0.0120513217869348	52792.7768554688	622.694241841634	6.40335780279426	0.0143064497769025
P00491	PNP	0.0120740071232577	1130.32904052734	230.065246582031	2.29037061215367	0.0143272730457063
Q92504	SLC39A7	0.0120816005631215	166803.897135417	7737.64689127604	4.42992785344979	0.0143301778399886
P18827	SDC1	0.012539849358041	7562.58032226563	4016.17032877604	0.912698927018284	0.0148673820613641
Q15758	SLC1A5	0.0127651950977823	5927.79939778646	2560.42427571615	1.21055038481182	0.0151281141903505
Q6P3W7	SCYL2	0.0127955566013134	3832.17936197917	1936.83855183919	0.983716707049914	0.015157645739965
Q8IYL3	C1orf174	0.01280876749249	1757.2334391276	601.653213500977	1.5439058866702	0.0151668441609628
Q6ZRP7	QSOX2	0.0132832907860117	1433.77138264974	125.589131673177	3.50158954971477	0.015722042005543
P06753	TPM3	0.0135958720635966	47561.013671875	30654.5875651042	0.633629407140326	0.0160851757421906
